nh=247575781 anf=bcd+abe+bde+abf+abg+deg+afg
nh=0 anf=acd+ace+bce+ade+bcde+abf+abcf+adf+bdf+cdef+acg+bcg+deg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+abe+bce+bcde+abf+abcf+bdf+cdef+bcg+deg+cdeg+acfg+cdfg+aefg
nh=247601880 anf=acd+bcd+abe+bce+bcde+abcf+cdef+bcg+deg+cdeg+acfg+cdfg+aefg
nh=247612162 anf=abc+acd+bcd+abe+ade+bcde+bcf+abcf+adf+cdef+acg+deg+cdeg+acfg+cdfg+aefg
nh=0 anf=abe+bcde+abcf+cdef+acg+deg+cdeg+acfg+cdfg+aefg
nh=247608097 anf=abc+acd+bcd+ace+ade+bde+bcde+abf+abcf+bdf+cdef+acg+bcg+cdg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+abe+bce+bde+bcde+abcf+adf+cdef+acg+bcg+cdg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+abe+ade+bcde+abcf+cdef+acg+bcg+cdg+beg+cdeg+acfg+cdfg+aefg
nh=247578448 anf=bcd+bde+cde+bcde+abf+abcf+adf+bdf+cdef+bcg+cdg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+abe+ace+bcde+abcf+adf+bdf+cdef+bcg+cdg+beg+cdeg+acfg+cdfg+aefg
nh=247593377 anf=abc+acd+abe+ace+bde+bcde+abf+bcf+abcf+cdef+bcg+cdg+beg+cdeg+acfg+cdfg+aefg
nh=247595493 anf=ace+bcde+abf+abcf+def+cdef+cdg+beg+cdeg+acfg+cdfg+aefg
nh=247585098 anf=abc+bcd+abe+bde+bcde+abcf+adf+cdef+cdg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+bce+ade+bcde+abf+bcf+abcf+cdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247608096 anf=abe+ace+bce+bde+bcde+abf+abcf+adf+bdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+bcde+abf+abcf+adf+bdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+ace+ade+bde+cde+bcde+abf+abcf+bdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+ade+bcde+abf+abcf+bdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247588871 anf=acd+bcd+abe+ace+ade+bde+bcde+abcf+bdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bce+ade+bcde+abcf+bdf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abe+ace+bce+bde+bcde+bcf+abcf+adf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247591353 anf=acd+abe+bde+cde+bcde+abf+bcf+abcf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247581757 anf=acd+abe+bde+bcde+abf+abcf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247579381 anf=acd+ace+ade+bde+bcde+abcf+cdef+acg+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=bce+bde+bcde+abf+abcf+adf+cdf+cef+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=ace+bde+bcde+abf+abcf+adf+cdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+abe+ace+bce+cde+bcde+abf+abcf+adf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=bcd+abe+ace+bde+bcde+abf+abcf+adf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+bcd+ace+ade+bcde+abf+abcf+adf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+abe+bcde+abf+abcf+adf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+bcd+ace+ade+bde+bcde+abcf+adf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247577064 anf=abc+abe+ace+ade+bcde+abcf+adf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247602877 anf=abc+acd+bce+ade+bcde+abf+abcf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+abe+ade+bde+bcde+abcf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+ace+ade+bcde+abcf+bdf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
nh=247592832 anf=abc+abe+bde+bcde+abf+bcf+abcf+adf+cdef+bcg+beg+cdeg+acfg+cdfg+aefg
